Column,Example
correctOption,D
explanation,"Because it has more gain is correct because a 5/8-wave vertical squashes the radiation pattern lower toward the horizon, increasing useful gain for mobile work. Memory Trick: ""Five-eighths = flatter, farther."""
BankQuestionID,B-006-010-004
,
question,"If a quarter-wavelength vertical antenna is placed on the roof of a car, in what direction does it send out radio energy?"
optionA,It goes out equally well in all horizontal directions
optionB,Most of it goes vertically straight-up
optionC,Most of it goes equally in two opposite directions
optionD,Most of it goes in one direction
correctOption,A
explanation,"It goes out equally well in all horizontal directions is correct because the car roof acts as a ground plane, giving an almost omnidirectional horizontal pattern. Memory Trick: Think ""mobile whip = doughnut around the car."""
BankQuestionID,B-006-010-005
,
question,What is an advantage of downward sloping radials on a ground plane antenna?
optionA,It lowers the radiation angle
optionB,It brings the feed point impedance closer to 50 ohms
optionC,It increases the radiation angle
optionD,It brings the feed point impedance closer to 300 ohms
correctOption,B
explanation,"It brings the feed point impedance closer to 50 ohms is correct because sloping the radials down raises the feedpoint impedance from about 36 ohms toward 50 ohms. Memory Trick: ""Tip the radials down, bring the match up."""
BankQuestionID,B-006-010-006
,
question,What configuration of radials will match an elevated quarter-wave vertical antenna to a 50-ohm coaxial cable?
optionA,Horizontal half-wave radials
optionB,Upward sloping half-wave radials
optionC,Downward sloping quarter-wave radials
optionD,Horizontal quarter-wave radials
correctOption,C
explanation,"Downward sloping quarter-wave radials is correct because this configuration gives a feedpoint impedance close to 50 ohms, matching common coax. Memory Trick: ""Quarter-wave down for 50-ohm crown."""
BankQuestionID,B-006-010-007
,
question,Which of the following transmission lines will give the best match to the base of a quarter-wave ground-plane antenna?
optionA,300-ohm balanced transmission line
optionB,75-ohm balanced transmission line
optionC,75-ohm coaxial cable
optionD,50-ohm coaxial cable
correctOption,D
explanation,50-ohm coaxial cable is correct because the base impedance of a properly built quarter-wave ground plane is close to 50 ohms. Memory Trick: Quarter-wave ground plane loves 50-ohm coax.
BankQuestionID,B-006-010-008
,
question,"How can a vertical antenna, 2 metres in length, be made to resonate in the 80-metre band for mobile use?"
optionA,Install an inductor in series with the antenna
optionB,Use a solid radiating element instead of tubing
optionC,Install a capacitor in series with the antenna
optionD,Connect the transmission line shield to the vehicle's chassis
correctOption,A
explanation,Install an inductor in series with the antenna is correct because the vertical is much shorter than a quarter-wave on 80 m and needs inductive loading to cancel its capacitive reactance. Memory Trick: Short HF mobile whip = add coil in series.
BankQuestionID,B-006-010-009
,
question,Why is a loading coil often used with an HF mobile vertical antenna?
optionA,To filter out electrical noise
optionB,To tune out capacitive reactance
optionC,To lower the losses
optionD,To lower the Q
correctOption,B
explanation,"To tune out capacitive reactance is correct because a short vertical looks capacitive; the coil adds inductance to bring it to resonance. Memory Trick: ""Coil cancels cap"" on short mobile whips."
BankQuestionID,B-006-010-010
,
question,"When using a ground mounted vertical HF antenna, what can you do to reduce ground losses?"
optionA,Improve the impedance match at the base
optionB,Raise the antenna one eighth of a wavelength
optionC,Install a wire ground system (radials) at the antenna base
optionD,Use an insulator with a higher breakdown voltage
correctOption,C
explanation,"Install a wire ground system (radials) at the antenna base is correct because radials provide a low-loss return path for currents, reducing ground resistance. Memory Trick: ""More radials, less losses."""
BankQuestionID,B-006-010-011
,
question,"What design feature allows a single Yagi antenna to function on the 20-metre, 15-metre and 10-metre bands?"
optionA,Large diameter elements
optionB,Multiple reflector elements
optionC,T-match feed circuit
optionD,Element traps
correctOption,D
explanation,"Element traps is correct because parallel LC traps in the elements isolate parts of the elements at higher bands, letting one physical antenna resonate on several HF bands. Memory Trick: ""Traps = tune one boom for many bands."""
BankQuestionID,B-006-011-001
,
question,What is the approximate length of the driven element of a Yagi antenna for 14.0 MHz?
optionA,10.21 metres
optionB,5.09 metres
optionC,10.71 metres
optionD,21.43 metres
correctOption,A
explanation,"10.21 metres is correct because a half-wave in free space at 14 MHz is about 10.7 metres, and a Yagi driven element is normally made slightly shorter than a half-wave to resonate properly. Memory Trick: Use ""150 / f (MHz)"" for half-wave in metres, then think ""a bit shorter"" for a Yagi driven element."
BankQuestionID,B-006-011-002
,
question,What is the approximate length of the director element of a Yagi antenna for 21.1 MHz?
optionA,3.55 metres
optionB,6.44 metres
optionC,7.11 metres
optionD,3.38 metres
correctOption,B
explanation,"6.44 metres is correct because a half-wave at 21.1 MHz is about 7.1 metres, and a director is made slightly shorter than the driven element to direct the beam. Memory Trick: Think ""director = shorter than half-wave to point the beam."""
BankQuestionID,B-006-011-003
,
question,What is the approximate length of the reflector element of a Yagi antenna for 28.1 MHz?
optionA,2.54 metres
optionB,2.67 metres
optionC,5.34 metres
optionD,10.68 metres
correctOption,C
explanation,"5.34 metres is correct because a half-wave at 28.1 MHz is about 5.3 metres, and a reflector is usually about a half-wave, often slightly longer than the driven element to reflect energy. Memory Trick: ""Reflector = about 1/2 wavelength, a little longer than the driven element."""
BankQuestionID,B-006-011-004
,
question,What is one effect of increasing the boom length and adding directors to a Yagi antenna?
optionA,Front-to-back ratio increases
optionB,Beamwidth increases
optionC,Power handling capability increases
optionD,Gain increases
correctOption,D
explanation,"Gain increases is correct because more directors and a longer boom concentrate more energy in one main lobe, increasing forward gain. Memory Trick: ""More directors on a longer boom = more punch in one direction."""
BankQuestionID,B-006-011-005
,
question,What is the major advantage of increasing element spacing on a Yagi antenna?
